reference_from,reference_to,method_a,method_b,method_pair,base_rate_from,base_rate_to,delta_from,delta_to,min_abs_margin,reversal
beeline_gsd,hpn_dream,pidc_full,scenic_pruned,pidc_full__scenic_pruned,1.966524831063226e-06,5.203096948854786e-06,-1.9021369143170654e-11,-2.679967784819073e-11,1.9021369143170654e-11,False
beeline_gsd,hpn_dream,pidc_full,spearman,pidc_full__spearman,1.966524831063226e-06,5.203096948854786e-06,5.732734714606285e-10,3.3275398130073e-10,3.3275398130073e-10,False
beeline_gsd,hpn_dream,pidc_proxy,random,pidc_proxy__random,1.966524831063226e-06,5.203096948854786e-06,9.857963174861673e-10,9.211270344356443e-10,9.211270344356443e-10,False
beeline_gsd,hpn_dream,pidc_proxy,scenic_grnboost2,pidc_proxy__scenic_grnboost2,1.966524831063226e-06,5.203096948854786e-06,1.5293988823843184e-10,-1.2744581831147415e-10,1.2744581831147415e-10,True
beeline_gsd,hpn_dream,pidc_proxy,scenic_pruned,pidc_proxy__scenic_pruned,1.966524831063226e-06,5.203096948854786e-06,3.452817521227543e-10,-3.430784585815302e-11,3.430784585815302e-11,True
beeline_gsd,hpn_dream,pidc_proxy,spearman,pidc_proxy__spearman,1.966524831063226e-06,5.203096948854786e-06,9.375765927265535e-10,3.252458132907677e-10,3.252458132907677e-10,False
beeline_gsd,hpn_dream,random,scenic_grnboost2,random__scenic_grnboost2,1.966524831063226e-06,5.203096948854786e-06,-8.328564292477355e-10,-1.0485728527471184e-09,8.328564292477355e-10,False
beeline_gsd,hpn_dream,random,scenic_pruned,random__scenic_pruned,1.966524831063226e-06,5.203096948854786e-06,-6.40514565363413e-10,-9.554348802937973e-10,6.40514565363413e-10,False
beeline_gsd,hpn_dream,random,spearman,random__spearman,1.966524831063226e-06,5.203096948854786e-06,-4.821972475961385e-11,-5.958812211448766e-10,4.821972475961385e-11,False
beeline_gsd,hpn_dream,scenic_grnboost2,scenic_pruned,scenic_grnboost2__scenic_pruned,1.966524831063226e-06,5.203096948854786e-06,1.9234186388432248e-10,9.313797245332113e-11,9.313797245332113e-11,False
beeline_gsd,hpn_dream,scenic_grnboost2,spearman,scenic_grnboost2__spearman,1.966524831063226e-06,5.203096948854786e-06,7.846367044881216e-10,4.5269163160224185e-10,4.5269163160224185e-10,False
beeline_gsd,hpn_dream,scenic_pruned,spearman,scenic_pruned__spearman,1.966524831063226e-06,5.203096948854786e-06,5.922948406037991e-10,3.595536591489207e-10,3.595536591489207e-10,False
dorothea_trrust_union_immune,hpn_dream,genie3,grnboost2,genie3__grnboost2,0.0004745470232959448,5.203096948854786e-06,-0.0003197134660724,-4.0620790761549015e-11,4.0620790761549015e-11,False
dorothea_trrust_union_immune,hpn_dream,genie3,pearson,genie3__pearson,0.0004745470232959448,5.203096948854786e-06,0.000962173806589,7.010644745280747e-10,7.010644745280747e-10,False
dorothea_trrust_union_immune,hpn_dream,genie3,pidc_full,genie3__pidc_full,0.0004745470232959448,5.203096948854786e-06,0.0009933528516127,3.6830252901911637e-10,3.6830252901911637e-10,False
dorothea_trrust_union_immune,hpn_dream,genie3,pidc_proxy,genie3__pidc_proxy,0.0004745470232959448,5.203096948854786e-06,0.0009422395899134999,3.7581069702907866e-10,3.7581069702907866e-10,False
dorothea_trrust_union_immune,hpn_dream,genie3,random,genie3__random,0.0004745470232959448,5.203096948854786e-06,0.000992265408147,1.296937731464723e-09,1.296937731464723e-09,False
dorothea_trrust_union_immune,hpn_dream,genie3,scenic_grnboost2,genie3__scenic_grnboost2,0.0004745470232959448,5.203096948854786e-06,0.0008499003401874999,2.483648787176045e-10,2.483648787176045e-10,False
dorothea_trrust_union_immune,hpn_dream,genie3,scenic_pruned,genie3__scenic_pruned,0.0004745470232959448,5.203096948854786e-06,0.0009847120036562,3.4150285117092564e-10,3.4150285117092564e-10,False
dorothea_trrust_union_immune,hpn_dream,genie3,spearman,genie3__spearman,0.0004745470232959448,5.203096948854786e-06,0.000960821961044,7.010565103198464e-10,7.010565103198464e-10,False
dorothea_trrust_union_immune,hpn_dream,grnboost2,pearson,grnboost2__pearson,0.0004745470232959448,5.203096948854786e-06,0.0012818872726614,7.416852652896237e-10,7.416852652896237e-10,False
dorothea_trrust_union_immune,hpn_dream,grnboost2,pidc_full,grnboost2__pidc_full,0.0004745470232959448,5.203096948854786e-06,0.0013130663176851,4.089233197806654e-10,4.089233197806654e-10,False
dorothea_trrust_union_immune,hpn_dream,grnboost2,pidc_proxy,grnboost2__pidc_proxy,0.0004745470232959448,5.203096948854786e-06,0.0012619530559858998,4.1643148779062767e-10,4.1643148779062767e-10,False
dorothea_trrust_union_immune,hpn_dream,grnboost2,random,grnboost2__random,0.0004745470232959448,5.203096948854786e-06,0.0013119788742193999,1.337558522226272e-09,1.337558522226272e-09,False
dorothea_trrust_union_immune,hpn_dream,grnboost2,scenic_grnboost2,grnboost2__scenic_grnboost2,0.0004745470232959448,5.203096948854786e-06,0.0011696138062599,2.889856694791535e-10,2.889856694791535e-10,False
dorothea_trrust_union_immune,hpn_dream,grnboost2,scenic_pruned,grnboost2__scenic_pruned,0.0004745470232959448,5.203096948854786e-06,0.0013044254697285999,3.8212364193247465e-10,3.8212364193247465e-10,False
dorothea_trrust_union_immune,hpn_dream,grnboost2,spearman,grnboost2__spearman,0.0004745470232959448,5.203096948854786e-06,0.0012805354271164,7.416773010813954e-10,7.416773010813954e-10,False
dorothea_trrust_union_immune,hpn_dream,pearson,pidc_full,pearson__pidc_full,0.0004745470232959448,5.203096948854786e-06,3.1179045023699986e-05,-3.327619455089583e-10,3.327619455089583e-10,True
dorothea_trrust_union_immune,hpn_dream,pearson,pidc_proxy,pearson__pidc_proxy,0.0004745470232959448,5.203096948854786e-06,-1.9934216675500014e-05,-3.25253777498996e-10,3.25253777498996e-10,False
dorothea_trrust_union_immune,hpn_dream,pearson,random,pearson__random,0.0004745470232959448,5.203096948854786e-06,3.0091601557999967e-05,5.958732569366482e-10,5.958732569366482e-10,False
dorothea_trrust_union_immune,hpn_dream,pearson,scenic_grnboost2,pearson__scenic_grnboost2,0.0004745470232959448,5.203096948854786e-06,-0.00011227346640150002,-4.5269959581047017e-10,4.5269959581047017e-10,False
dorothea_trrust_union_immune,hpn_dream,pearson,scenic_pruned,pearson__scenic_pruned,0.0004745470232959448,5.203096948854786e-06,2.2538197067199968e-05,-3.5956162335714904e-10,3.5956162335714904e-10,True
dorothea_trrust_union_immune,hpn_dream,pearson,spearman,pearson__spearman,0.0004745470232959448,5.203096948854786e-06,-1.351845545000032e-06,-7.964208228317246e-15,7.964208228317246e-15,False
dorothea_trrust_union_immune,hpn_dream,pidc_full,pidc_proxy,pidc_full__pidc_proxy,0.0004745470232959448,5.203096948854786e-06,-5.11132616992e-05,7.50816800996229e-12,7.50816800996229e-12,True
dorothea_trrust_union_immune,hpn_dream,pidc_full,random,pidc_full__random,0.0004745470232959448,5.203096948854786e-06,-1.087443465700019e-06,9.286352024456066e-10,9.286352024456066e-10,True
dorothea_trrust_union_immune,hpn_dream,pidc_full,scenic_grnboost2,pidc_full__scenic_grnboost2,0.0004745470232959448,5.203096948854786e-06,-0.0001434525114252,-1.1993765030151186e-10,1.1993765030151186e-10,False
dorothea_trrust_union_immune,hpn_dream,pidc_full,scenic_pruned,pidc_full__scenic_pruned,0.0004745470232959448,5.203096948854786e-06,-8.640847956500018e-06,-2.679967784819073e-11,2.679967784819073e-11,False
dorothea_trrust_union_immune,hpn_dream,pidc_full,spearman,pidc_full__spearman,0.0004745470232959448,5.203096948854786e-06,-3.253089056870002e-05,3.3275398130073e-10,3.3275398130073e-10,True
dorothea_trrust_union_immune,hpn_dream,pidc_proxy,random,pidc_proxy__random,0.0004745470232959448,5.203096948854786e-06,5.002581823349998e-05,9.211270344356443e-10,9.211270344356443e-10,False
dorothea_trrust_union_immune,hpn_dream,pidc_proxy,scenic_grnboost2,pidc_proxy__scenic_grnboost2,0.0004745470232959448,5.203096948854786e-06,-9.233924972600001e-05,-1.2744581831147415e-10,1.2744581831147415e-10,False
dorothea_trrust_union_immune,hpn_dream,pidc_proxy,scenic_pruned,pidc_proxy__scenic_pruned,0.0004745470232959448,5.203096948854786e-06,4.247241374269998e-05,-3.430784585815302e-11,3.430784585815302e-11,True
dorothea_trrust_union_immune,hpn_dream,pidc_proxy,spearman,pidc_proxy__spearman,0.0004745470232959448,5.203096948854786e-06,1.8582371130499982e-05,3.252458132907677e-10,3.252458132907677e-10,False
dorothea_trrust_union_immune,hpn_dream,random,scenic_grnboost2,random__scenic_grnboost2,0.0004745470232959448,5.203096948854786e-06,-0.0001423650679595,-1.0485728527471184e-09,1.0485728527471184e-09,False
dorothea_trrust_union_immune,hpn_dream,random,scenic_pruned,random__scenic_pruned,0.0004745470232959448,5.203096948854786e-06,-7.553404490799999e-06,-9.554348802937973e-10,9.554348802937973e-10,False
dorothea_trrust_union_immune,hpn_dream,random,spearman,random__spearman,0.0004745470232959448,5.203096948854786e-06,-3.1443447103e-05,-5.958812211448766e-10,5.958812211448766e-10,False
dorothea_trrust_union_immune,hpn_dream,scenic_grnboost2,scenic_pruned,scenic_grnboost2__scenic_pruned,0.0004745470232959448,5.203096948854786e-06,0.0001348116634687,9.313797245332113e-11,9.313797245332113e-11,False
dorothea_trrust_union_immune,hpn_dream,scenic_grnboost2,spearman,scenic_grnboost2__spearman,0.0004745470232959448,5.203096948854786e-06,0.00011092162085649999,4.5269163160224185e-10,4.5269163160224185e-10,False
dorothea_trrust_union_immune,hpn_dream,scenic_pruned,spearman,scenic_pruned__spearman,0.0004745470232959448,5.203096948854786e-06,-2.38900426122e-05,3.595536591489207e-10,3.595536591489207e-10,True
