reference,method,policy_from,policy_to,f1_from,f1_to,coverage_from,coverage_to,quality_from,quality_to,delta_f1,coverage_term,quality_term,decomposition_error
dorothea_human,probe_grad_input,full_genes,crosswalk,7.637269876999759e-05,7.637269876999759e-05,0.9884481255448996,0.9884481255448996,7.726525732232613e-05,7.726525732232613e-05,0.0,0.0,0.0,0.0
dorothea_human,probe_grad_input,full_genes,omnipath_ref,7.637269876999759e-05,7.637269876999759e-05,0.9884481255448996,0.9884481255448996,7.726525732232613e-05,7.726525732232613e-05,0.0,0.0,0.0,0.0
dorothea_human,probe_grad_input,legacy_symbols,crosswalk,0.0001539122052378,7.637269876999759e-05,0.09497602441150828,0.9884481255448996,0.0016205374587057405,7.726525732232613e-05,-7.753950646780242e-05,0.0014479050081951843,-0.0015254445146629866,0.0
dorothea_human,probe_grad_input,legacy_symbols,full_genes,0.0001539122052378,7.637269876999759e-05,0.09497602441150828,0.9884481255448996,0.0016205374587057405,7.726525732232613e-05,-7.753950646780242e-05,0.0014479050081951843,-0.0015254445146629866,0.0
dorothea_human,probe_grad_input,legacy_symbols,omnipath_ref,0.0001539122052378,7.637269876999759e-05,0.09497602441150828,0.9884481255448996,0.0016205374587057405,7.726525732232613e-05,-7.753950646780242e-05,0.0014479050081951843,-0.0015254445146629866,0.0
dorothea_human,probe_integrated_gradients,crosswalk,omnipath_ref,0.0001004849403219,0.0001004849403219,0.9884481255448996,0.9884481255448996,0.0001016592957435231,0.0001016592957435231,0.0,0.0,0.0,0.0
dorothea_human,probe_integrated_gradients,full_genes,crosswalk,0.0001004849403219,0.0001004849403219,0.9884481255448996,0.9884481255448996,0.0001016592957435231,0.0001016592957435231,0.0,0.0,0.0,0.0
dorothea_human,probe_integrated_gradients,full_genes,omnipath_ref,0.0001004849403219,0.0001004849403219,0.9884481255448996,0.9884481255448996,0.0001016592957435231,0.0001016592957435231,0.0,0.0,0.0,0.0
dorothea_human,probe_integrated_gradients,legacy_symbols,crosswalk,0.0002025160595235,0.0001004849403219,0.09497602441150828,0.9884481255448996,0.0021322861298768057,0.0001016592957435231,-0.0001020311192016,0.0019051381686786167,-0.002007169287880217,4.336808689942018e-19
dorothea_human,probe_integrated_gradients,legacy_symbols,full_genes,0.0002025160595235,0.0001004849403219,0.09497602441150828,0.9884481255448996,0.0021322861298768057,0.0001016592957435231,-0.0001020311192016,0.0019051381686786167,-0.002007169287880217,4.336808689942018e-19
dorothea_human,probe_integrated_gradients,legacy_symbols,omnipath_ref,0.0002025160595235,0.0001004849403219,0.09497602441150828,0.9884481255448996,0.0021322861298768057,0.0001016592957435231,-0.0001020311192016,0.0019051381686786167,-0.002007169287880217,4.336808689942018e-19
dorothea_human,probe_perturbation,crosswalk,omnipath_ref,0.0001045062281692,0.0001045062281692,0.9884481255448996,0.9884481255448996,0.00010572757989863058,0.00010572757989863058,0.0,0.0,0.0,0.0
dorothea_human,probe_perturbation,full_genes,crosswalk,0.0001045062281692,0.0001045062281692,0.9884481255448996,0.9884481255448996,0.00010572757989863058,0.00010572757989863058,0.0,0.0,0.0,0.0
dorothea_human,probe_perturbation,full_genes,omnipath_ref,0.0001045062281692,0.0001045062281692,0.9884481255448996,0.9884481255448996,0.00010572757989863058,0.00010572757989863058,0.0,0.0,0.0,0.0
dorothea_human,probe_perturbation,legacy_symbols,crosswalk,0.0002106167019044,0.0001045062281692,0.09497602441150828,0.9884481255448996,0.0022175775750714567,0.00010572757989863058,-0.0001061104737352,0.0019813436954253852,-0.002087454169160585,0.0
dorothea_human,probe_perturbation,legacy_symbols,full_genes,0.0002106167019044,0.0001045062281692,0.09497602441150828,0.9884481255448996,0.0022175775750714567,0.00010572757989863058,-0.0001061104737352,0.0019813436954253852,-0.002087454169160585,0.0
dorothea_human,probe_perturbation,legacy_symbols,omnipath_ref,0.0002106167019044,0.0001045062281692,0.09497602441150828,0.9884481255448996,0.0022175775750714567,0.00010572757989863058,-0.0001061104737352,0.0019813436954253852,-0.002087454169160585,0.0
dorothea_trrust_union_immune,attention_inferred,crosswalk,omnipath_ref,8.060502128980125e-06,8.060502128980125e-06,1.0,1.0,8.060502128980125e-06,8.060502128980125e-06,0.0,0.0,0.0,0.0
dorothea_trrust_union_immune,attention_inferred,full_genes,crosswalk,8.060502128980125e-06,8.060502128980125e-06,1.0,1.0,8.060502128980125e-06,8.060502128980125e-06,0.0,0.0,0.0,0.0
dorothea_trrust_union_immune,attention_inferred,full_genes,omnipath_ref,8.060502128980125e-06,8.060502128980125e-06,1.0,1.0,8.060502128980125e-06,8.060502128980125e-06,0.0,0.0,0.0,0.0
dorothea_trrust_union_immune,probe_attention,crosswalk,omnipath_ref,7.244831014316592e-05,7.244831014316592e-05,1.0,1.0,7.244831014316592e-05,7.244831014316592e-05,0.0,0.0,0.0,0.0
dorothea_trrust_union_immune,probe_attention,full_genes,crosswalk,7.244831014316592e-05,7.244831014316592e-05,1.0,1.0,7.244831014316592e-05,7.244831014316592e-05,0.0,0.0,0.0,0.0
dorothea_trrust_union_immune,probe_attention,full_genes,omnipath_ref,7.244831014316592e-05,7.244831014316592e-05,1.0,1.0,7.244831014316592e-05,7.244831014316592e-05,0.0,0.0,0.0,0.0
